#Sequence_Id	Database_OTU	POS	CIGAR	Classification
FCAREHU:1:1101:10421:29_1	4317238	1	4S288M1S	Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Propionibacterium; Unclassified; otu_4317238
FCAREHU:1:1101:16843:33_1	4317238	1	4S288M1S	Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Propionibacterium; Unclassified; otu_4317238
FCAREHU:1:1101:12738:24_1	1507389	1	40S253M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_1507389
FCAREHU:1:1101:6684:42_1	3221156	1	12S281M	Bacteria; Fusobacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium; nucleatum_subsp._animalis; otu_3221156
FCAREHU:1:1101:18005:30_1	2914680	1	38S76M1D179M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_2914680
FCAREHU:1:1101:11508:47_1	676270	1	1S292M	Bacteria; Fusobacteria; Fusobacteria; Fusobacteriales; Leptotrichiaceae; Leptotrichia; Oral_Taxon_847; otu_676270
FCAREHU:1:1101:16259:24_1	321236	234	242S41M10S	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Unclassified; otu_321236
FCAREHU:1:1101:26481:51_1	1042850	1	20S273M	Bacteria; Fusobacteria; Fusobacteria; Fusobacteriales; Leptotrichiaceae; Leptotrichia; 302H02; otu_1042850
FCAREHU:1:1101:18820:22_1	4375080	1	33S260M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_4375080
FCAREHU:1:1101:9539:36_1	2208658	1	37S256M	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Unclassified; otu_2208658
FCAREHU:1:1101:7151:44_1	4415943	1	21S272M	Bacteria; Fusobacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium; nucleatum_subsp._animalis; otu_4415943
FCAREHU:1:1101:11041:36_1	71146	1	38S138M2I3M2D72M2D40M	Bacteria; Spirochaetes; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema; vincentii_medium; otu_71146
FCAREHU:1:1101:16611:43_1	4439032	1	29S264M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_4439032
FCAREHU:1:1101:15109:62_1	676270	1	1S292M	Bacteria; Fusobacteria; Fusobacteria; Fusobacteriales; Leptotrichiaceae; Leptotrichia; Oral_Taxon_847; otu_676270
FCAREHU:1:1101:14959:63_1	1541939	1	35S258M	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Unclassified; otu_1541939
FCAREHU:1:1101:23610:25_1	611110	3	40S217M1D36M	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; intermedia; otu_611110
FCAREHU:1:1101:17871:25_1	2914680	1	38S76M1D179M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_2914680
FCAREHU:1:1101:12366:50_1	525391	1	293M	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; sp._enrichment_culture_clone_SRC_DSC23; otu_525391
FCAREHU:1:1101:8940:30_1	4447416	1	1S292M	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Unclassified; otu_4447416
FCAREHU:1:1101:9023:59_1	4439032	1	29S264M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_4439032
FCAREHU:1:1101:14600:39_1	4364176	1	46S39M1D51M1D157M	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Eggerthia; catenaformis; otu_4364176
FCAREHU:1:1101:21646:47_1	899059	72	93S200M	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Unclassified; otu_899059
FCAREHU:1:1101:16096:64_1	607045	1	293M	Bacteria; TM7; TM7_3; TM7; TM7; TM7; oral_taxon_350; otu_607045
FCAREHU:1:1101:9026:64_1	4295743	1	1S292M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_4295743
FCAREHU:1:1101:24032:32_1	1007452	1	20S273M	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; flava_mucosa_pharyngis; otu_1007452
FCAREHU:1:1101:22656:53_1	4317238	1	4S288M1S	Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Propionibacterium; Unclassified; otu_4317238
FCAREHU:1:1101:7996:45_1	3825935	1	27S266M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Unclassified; otu_3825935
FCAREHU:1:1101:20084:34_1	220889	1	63S230M	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; melaninogenica; otu_220889
FCAREHU:1:1101:22510:42_1	4439032	1	29S264M	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; parainfluenzae; otu_4439032
FCAREHU:1:1101:15961:62_1	4431443	7	12S281M	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Micrococcaceae; Rothia; dentocariosa; otu_4431443
FCAREHU:1:1101:16073:71_1	989315	1	20S273M	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; gordonii; otu_989315
